regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,rope,42,0.05,0.051518032084449925,0.8578397212543554,71.07390300230946,1.214086349727586,1.1415952713694424,1.214086349727586,0.07249107835814361,3
full_fp32_trained,rope,42,0.075,0.08507933277555473,0.3271777003484321,27.107390300230946,3.3283052168786527,3.282415008544922,3.3283052168786527,0.0458902083337307,4
full_fp32_trained,rope,42,0.1,0.11519102349761626,0.07839721254355402,6.4953810623556585,4.687171499431133,4.6730866327881815,4.687171499431133,0.01408486664295161,5
full_fp32_trained,rope,123,0.0,0.00010851192876397586,0.9996491228070175,82.2459584295612,,,,0.0,0
full_fp32_trained,rope,123,0.01,0.015735415145507876,1.0014035087719297,82.39030023094688,0.7633081456646323,0.7632711904123426,0.7633081456646323,3.695525228974983e-05,1
full_fp32_trained,rope,123,0.025,0.028585989508461536,0.9901754385964912,81.46651270207852,0.8164092698600143,0.8163580856751651,0.8164092698600143,5.118418484917342e-05,2
full_fp32_trained,rope,123,0.05,0.0666630520225247,0.8824561403508772,72.6039260969977,1.2093283104244619,1.1897407480049877,1.2093283104244619,0.019587562419474125,3
full_fp32_trained,rope,123,0.075,0.10317559110734235,0.283859649122807,23.354503464203233,3.515411763638258,3.4687881730496883,3.515411763638258,0.046623590588569463,4
full_fp32_trained,rope,123,0.1,0.13021524753677913,0.08175438596491227,6.726327944572748,4.836153376102447,4.719663114845753,4.836153376102447,0.11649026125669426,5
full_fp32_trained,rope,456,0.0,0.00010852750202432509,1.0,82.82332563510393,,,,0.0,0
full_fp32_trained,rope,456,0.01,0.014699863487430204,0.9975601254792611,82.62124711316397,0.7532889638561755,0.7532519457861782,0.7532889638561755,3.701806999734103e-05,1
full_fp32_trained,rope,456,0.025,0.02451161170396026,0.9937260369466713,82.30369515011547,0.7966654738411307,0.7965874346438795,0.7966654738411307,7.803919725124508e-05,2
full_fp32_trained,rope,456,0.05,0.048163560102758386,0.9027535726734053,74.7690531177829,1.1174056556541472,1.053286966960877,1.1174056556541472,0.06411868869327009,3
full_fp32_trained,rope,456,0.075,0.08509638273625693,0.33495991634715927,27.742494226327945,3.3559529475867746,3.249243977665901,3.3559529475867746,0.10670896992087364,4
full_fp32_trained,rope,456,0.1,0.11679496260213246,0.08295573370512374,6.87066974595843,4.66987831890583,4.5885590925812725,4.66987831890583,0.0813192263245579,5
full_fp32_trained,rope,789,0.0,0.00010015377494206049,1.0,82.27482678983834,,,,0.0,0
full_fp32_trained,rope,789,0.01,0.015560180214188845,1.0010526315789474,82.36143187066975,0.7283273196779192,0.7282976347021759,0.7283273196779192,2.9684975743293762e-05,1
full_fp32_trained,rope,789,0.025,0.030166719438432615,0.9950877192982455,81.87066974595842,0.7702172499615699,0.7701811089646071,0.7702172499615699,3.6140996962807925e-05,2
full_fp32_trained,rope,789,0.05,0.048512898579002574,0.8831578947368419,72.66166281755196,1.1586330601479857,1.154683757200837,1.1586330601479857,0.003949302947148681,3
full_fp32_trained,rope,789,0.075,0.07924920814427047,0.27999999999999997,23.036951501154736,3.589756643027067,3.5141295328736306,3.589756643027067,0.07562711015343648,4
full_fp32_trained,rope,789,0.1,0.10411208324905995,0.07157894736842105,5.8891454965357966,4.849044093489647,4.771948532760144,4.849044093489647,0.07709556072950363,5
